x y z u_s_num u_c_num u_s_exact u_c_exact err_s err_c
0.75 0.208333 0 0 -0.560986 0 -0.560986 0 1.11022e-16
0.791667 0.208333 0 0 -0.62941 0 -0.62941 0 1.11022e-16
0.833333 0.208333 0 0 -0.687064 0 -0.687064 0 1.11022e-16
0.875 0.208333 0 0 -0.732963 0 -0.732963 0 1.11022e-16
0.916667 0.208333 0 0 -0.76632 0 -0.76632 0 1.11022e-16
0.958333 0.208333 0 0 -0.786566 0 -0.786566 0 1.11022e-16
1 0.208333 0 0 -0.793353 0 -0.793353 0 1.11022e-16
0 0.25 0 0 0.707107 0 0.707107 0 -1.11022e-16
0.0416667 0.25 0 0 0.701057 0 0.701057 0 -1.11022e-16
0.0833333 0.25 0 0 0.683013 0 0.683013 0 -1.11022e-16
0.125 0.25 0 0 0.653281 0 0.653281 0 -1.11022e-16
0.166667 0.25 0 0 0.612372 0 0.612372 0 -1.11022e-16
0.208333 0.25 0 0 0.560986 0 0.560986 0 -1.11022e-16
0.25 0.25 0 0 0.5 0 0.5 0 -1.11022e-16
0.291667 0.25 0 0 0.430459 0 0.430459 0 -5.55112e-17
0.333333 0.25 0 0 0.353553 0 0.353553 0 -5.55112e-17
0.375 0.25 0 0 0.270598 0 0.270598 0 -5.55112e-17
0.416667 0.25 0 0 0.183013 0 0.183013 0 -2.77556e-17
0.458333 0.25 0 0 0.092296 0 0.092296 0 -1.38778e-17
0.5 0.25 0 0 4.32978e-17 0 4.32978e-17 0 -6.16298e-33
0.541667 0.25 0 0 -0.092296 0 -0.092296 0 1.38778e-17
0.583333 0.25 0 0 -0.183013 0 -0.183013 0 2.77556e-17
0.625 0.25 0 0 -0.270598 0 -0.270598 0 5.55112e-17
0.666667 0.25 0 0 -0.353553 0 -0.353553 0 5.55112e-17
0.708333 0.25 0 0 -0.430459 0 -0.430459 0 5.55112e-17
0.75 0.25 0 0 -0.5 0 -0.5 0 5.55112e-17
0.791667 0.25 0 0 -0.560986 0 -0.560986 0 1.11022e-16
0.833333 0.25 0 0 -0.612372 0 -0.612372 0 1.11022e-16
0.875 0.25 0 0 -0.653281 0 -0.653281 0 1.11022e-16
0.916667 0.25 0 0 -0.683013 0 -0.683013 0 1.11022e-16
0.958333 0.25 0 0 -0.701057 0 -0.701057 0 1.11022e-16
1 0.25 0 0 -0.707107 0 -0.707107 0 1.11022e-16
0 0.291667 0 0 0.608761 0 0.608761 0 -1.11022e-16
0.0416667 0.291667 0 0 0.603553 0 0.603553 0 -1.11022e-16
0.0833333 0.291667 0 0 0.588018 0 0.588018 0 -1.11022e-16
0.125 0.291667 0 0 0.562422 0 0.562422 0 -1.11022e-16
0.166667 0.291667 0 0 0.527203 0 0.527203 0 -1.11022e-16
0.208333 0.291667 0 0 0.482963 0 0.482963 0 -5.55112e-17
0.25 0.291667 0 0 0.430459 0 0.430459 0 -5.55112e-17
0.291667 0.291667 0 0 0.37059 0 0.37059 0 -5.55112e-17
0.333333 0.291667 0 0 0.304381 0 0.304381 0 -5.55112e-17
0.375 0.291667 0 0 0.232963 0 0.232963 0 -2.77556e-17
0.416667 0.291667 0 0 0.157559 0 0.157559 0 -2.77556e-17
0.458333 0.291667 0 0 0.0794593 0 0.0794593 0 -1.38778e-17
0.5 0.291667 0 0 3.72759e-17 0 3.72759e-17 0 -6.16298e-33
0.541667 0.291667 0 0 -0.0794593 0 -0.0794593 0 1.38778e-17
0.583333 0.291667 0 0 -0.157559 0 -0.157559 0 2.77556e-17
0.625 0.291667 0 0 -0.232963 0 -0.232963 0 2.77556e-17
0.666667 0.291667 0 0 -0.304381 0 -0.304381 0 5.55112e-17
0.708333 0.291667 0 0 -0.37059 0 -0.37059 0 5.55112e-17
0.75 0.291667 0 0 -0.430459 0 -0.430459 0 5.55112e-17
0.791667 0.291667 0 0 -0.482963 0 -0.482963 0 5.55112e-17
0.833333 0.291667 0 0 -0.527203 0 -0.527203 0 1.11022e-16
0.875 0.291667 0 0 -0.562422 0 -0.562422 0 1.11022e-16
0.916667 0.291667 0 0 -0.588018 0 -0.588018 0 1.11022e-16
0.958333 0.291667 0 0 -0.603553 0 -0.603553 0 1.11022e-16
1 0.291667 0 0 -0.608761 0 -0.608761 0 1.11022e-16
0 0.333333 0 0 0.5 0 0.5 0 -1.11022e-16
0.0416667 0.333333 0 0 0.495722 0 0.495722 0 -5.55112e-17
0.0833333 0.333333 0 0 0.482963 0 0.482963 0 -5.55112e-17
0.125 0.333333 0 0 0.46194 0 0.46194 0 -5.55112e-17
0.166667 0.333333 0 0 0.433013 0 0.433013 0 -5.55112e-17
0.208333 0.333333 0 0 0.396677 0 0.396677 0 -5.55112e-17
0.25 0.333333 0 0 0.353553 0 0.353553 0 -5.55112e-17
0.291667 0.333333 0 0 0.304381 0 0.304381 0 -5.55112e-17
0.333333 0.333333 0 0 0.25 0 0.25 0 -5.55112e-17
0.375 0.333333 0 0 0.191342 0 0.191342 0 -2.77556e-17
0.416667 0.333333 0 0 0.12941 0 0.12941 0 -2.77556e-17
0.458333 0.333333 0 0 0.0652631 0 0.0652631 0 -1.38778e-17
0.5 0.333333 0 0 3.06162e-17 0 3.06162e-17 0 -6.16298e-33
0.541667 0.333333 0 0 -0.0652631 0 -0.0652631 0 1.38778e-17
0.583333 0.333333 0 0 -0.12941 0 -0.12941 0 2.77556e-17
0.625 0.333333 0 0 -0.191342 0 -0.191342 0 2.77556e-17
0.666667 0.333333 0 0 -0.25 0 -0.25 0 2.77556e-17
0.708333 0.333333 0 0 -0.304381 0 -0.304381 0 5.55112e-17
0.75 0.333333 0 0 -0.353553 0 -0.353553 0 5.55112e-17
0.791667 0.333333 0 0 -0.396677 0 -0.396677 0 5.55112e-17
0.833333 0.333333 0 0 -0.433013 0 -0.433013 0 5.55112e-17
0.875 0.333333 0 0 -0.46194 0 -0.46194 0 5.55112e-17
0.916667 0.333333 0 0 -0.482963 0 -0.482963 0 5.55112e-17
0.958333 0.333333 0 0 -0.495722 0 -0.495722 0 5.55112e-17
1 0.333333 0 0 -0.5 0 -0.5 0 1.11022e-16
0 0.375 0 0 0.382683 0 0.382683 0 -5.55112e-17
0.0416667 0.375 0 0 0.37941 0 0.37941 0 -5.55112e-17
0.0833333 0.375 0 0 0.369644 0 0.369644 0 -5.55112e-17
